brand,carName,carImg,saleVolume,min_price,max_price,manufacturer,rank,carModel,energyType,marketTime,over_score,appearance_score,interior_score,configure_score,spatial_score,comfort_score,manipulating_score,motivation_score,comprehensive_evaluation
思铭,东风本田M-NV,https://p3-dcd.byteimg.com/img/motor-mis-img/b20ad2749ca184a995d7d9b88d20b147~tplv-resize:640:0.png,126,13.78,14.78,东风本田,493,小型SUV,纯电动,2023.06,3.51,3.83,3.58,3.38,3.57,3.32,3.43,3.49,"['整体空间出色（6）', '动力十足（3）', '后备厢空间大（2）', '后排地台平整（2）', '静谧性强（2）', '外观耐看（2）', '内饰好看（1）', '装载能力强（1）', '保养费用低（1）', '外观时尚（1）', '车机功能丰富（1）', '车机科技感强（1）', '配置丰富（1）', '动力输出平顺（1）', '转向手感出色（1）', '驾驶体验良好（1）', '操控出色（1）', '空间中规中矩（1）', '续航满足通勤（1）', '隔音差（2）', '悬挂表现不理想（2）', '续航表现较差（2）', '配置鸡肋（1）', '动力不足（1）']"
东风风光,风光S560,https://p3-dcd.byteimg.com/img/motor-mis-img/ff3d4636305ad260c3cb9258efcca985~tplv-resize:640:0.png,119,6.59,7.59,东风小康,494,紧凑型SUV,汽油,2021.04,3.21,3.24,3.08,3.14,3.64,3.10,2.99,3.27,"['整体空间出色（6）', '配置丰富（3）', '后备厢空间大（2）', '尾部好看（2）', '外观耐看（2）', '外观拉风（2）', '外观大气（2）', '动力十足（2）', '动力输出平顺（2）', '内饰质感不错（1）', '储物空间合理（1）', '静谧性一般（3）', '油耗高（5）', '隔音差（3）', '有异响（3）', '后备厢空间小（2）', '内饰用料普通（1）', '内饰设计一般（1）', '内饰材质较差（1）', '后排空间小（1）', '胎噪大（1）', '乘坐感受比较差（1）', '渗油（1）', '车机功能简单（1）']"
斯柯达,明锐,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e5d55d4c1ece47ceb29e28624cf1ca70~tplv-resize:640:0.png,117,14.39,15.49,上汽大众斯柯达,495,紧凑型车,汽油,2024.01,3.63,3.82,3.37,3.59,3.92,3.56,3.62,3.56,"['整体空间出色（71）', '后备厢空间大（55）', '动力十足（48）', '油耗低（41）', '配置丰富（32）', '外观耐看（22）', '底盘调校好（20）', '操控出色（18）', '动力输出平顺（17）', '内饰质感不错（15）', '乘坐感受还可以（14）', '动力中规中矩（34）', '有异响（23）', '动力不足（23）', '胎噪大（19）', '隔音差（14）', '变速箱换挡顿挫（14）', '内饰材质较差（12）', '新车异味较大（10）', '配置低（10）', '油耗高（9）', '动力响应不灵敏（8）', '后排地台隆起（7）', '后排空间小（7）']"
现代,菲斯塔,https://p3-dcd.byteimg.com/img/motor-mis-img/59c714d0afdd6fbe61a5108d3c29327f~tplv-resize:640:0.png,114,12.38,13.98,北京现代,496,紧凑型车,汽油,2022.11,3.75,4.21,3.61,3.46,3.10,3.75,4.09,3.99,"['动力十足（101）', '外观拉风（28）', '动力响应灵敏（26）', '配置丰富（25）', '操控出色（20）', '外观耐看（17）', '后备厢空间大（13）', '油耗低（12）', '外观时尚（12）', '整体空间出色（11）', '空间中规中矩（16）', '动力中规中矩（12）', '隔音差（29）', '胎噪大（22）', '后排空间小（19）', '有异响（14）', '变速箱换挡顿挫（13）', '油耗高（11）', '内饰材质较差（10）', '乘坐感受比较差（10）', '空间局促（7）', '风噪大（6）', '内饰设计一般（5）', '悬挂表现不理想（5）']"
启辰,启辰D60,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/19edcae930eb41e6995bb85e5ae1dea3~tplv-resize:640:0.png,111,6.88,7.98,东风日产,497,紧凑型车,汽油,2023.02,3.34,3.49,3.25,3.18,3.71,3.38,3.22,3.13,"['整体空间出色（24）', '油耗低（17）', '动力十足（9）', '后备厢空间大（8）', '动力输出平顺（8）', '外观时尚（7）', '外观拉风（5）', '配置丰富（5）', '乘坐感受还可以（4）', '外观耐看（4）', '操控出色（4）', '内饰质感不错（3）', '隔音差（11）', '有异响（9）', '动力响应不灵敏（8）', '动力不足（7）', '胎噪大（5）', '悬挂表现不理想（5）', '配置低（5）', '悬架跳动明显（4）', '漆面薄（4）', '新车异味较大（3）', '发动机噪音明显（3）', '内饰材质较差（2）']"
哈弗,哈弗神兽,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/2b24862d74c248ca999345985785ab0c~tplv-resize:640:0.png,110,11.5,15.2,长城汽车,498,紧凑型SUV,汽油,2023.03,3.80,4.01,3.77,3.82,4.16,3.69,3.56,3.60,"['整体空间出色（87）', '动力十足（56）', '配置丰富（43）', '乘坐感受还可以（35）', '后排空间大（22）', '内饰好看（19）', '配置实用（19）', '动力输出平顺（18）', '驾驶体验良好（18）', '动力响应灵敏（14）', '内饰质感不错（13）', '人机工程不错（13）', '油耗高（26）', '动力响应不灵敏（16）', '配置鸡肋（13）', '动力响应迟滞（12）', '有异响（10）', '人机工程较差（8）', '隔音差（7）', '风噪大（5）', '城市油耗高（5）', '动力不足（5）', '悬挂表现不理想（4）', '新车异味较大（4）']"
启辰,启辰星,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b0b6cc8b5a444a168d223471447a26dc~tplv-resize:640:0.png,109,10.26,13.96,东风日产,499,紧凑型SUV,汽油,2022.11,3.69,4.14,3.54,3.56,4.12,3.60,3.56,3.34,"['整体空间出色（20）', '动力十足（6）', '内饰质感不错（5）', '后备厢空间大（4）', '后排空间大（4）', '配置丰富（4）', '内饰豪华（3）', '乘坐感受还可以（3）', '变速箱换挡顺畅（3）', '内饰好看（3）', '动力中规中矩（4）', '油耗一般（3）', '动力不足（4）', '变速箱换挡顿挫（3）', '油耗高（2）', '空间灵活性较差（1）', '悬挂表现不理想（1）', '有异响（1）', '外观做工较差（1）', '车机卡顿严重（1）', '故障率高（1）', '配置鸡肋（1）', '配置低（1）', '发动机噪音明显（1）']"
奥迪,奥迪e-tron,https://p3-dcd.byteimg.com/img/motor-mis-img/e8587b667f120eb9f0f98d11371b8b74~tplv-resize:640:0.png,104,34.48,40.88,一汽-大众奥迪,500,中大型SUV,纯电动,2021.04,4.09,4.16,4.12,3.96,3.93,4.09,4.13,4.22,"['整体空间出色（9）', '动力十足（7）', '驾驶体验良好（6）', '后备厢空间大（4）', '静谧性强（4）', '续航表现优秀（4）', '操控出色（4）', '内饰质感不错（3）', '悬架舒适性强（3）', '内饰好看（3）', '车机科技感强（3）', '充电时间较短（2）', '续航满足通勤（4）', '新车异味较大（3）', '胎噪大（2）', '动力不足（2）', '后排地台隆起（1）', '隔音差（1）', '车机功能简单（1）', '辅助驾驶功能较少（1）', '配置鸡肋（1）', '配置低（1）', '动力响应不灵敏（1）', '刹车表现较差（1）']"
英菲尼迪,英菲尼迪QX50,https://p3-dcd.byteimg.com/img/motor-mis-img/6538990a28bbef23dac96e53c83ddce2~tplv-resize:640:0.png,92,23.38,36.98,东风英菲尼迪,502,中型SUV,汽油,2023.11,4.04,4.28,3.89,3.86,4.06,4.07,4.01,4.07,"['动力十足（39）', '整体空间出色（30）', '内饰质感不错（20）', '乘坐感受还可以（20）', '驾驶体验良好（12）', '外观耐看（8）', '音响品质好（7）', '动力输出平顺（7）', '操控出色（7）', '后备厢空间大（6）', '静谧性强（6）', '空间中规中矩（7）', '动力响应不灵敏（15）', '车机卡顿严重（5）', '有异响（4）', '配置低（4）', '隔音差（3）', '乘坐感受比较差（3）', '操控感较差（3）', '后备厢空间小（2）', '后排地台隆起（2）', '胎噪大（2）', '油耗高（2）', '城市油耗高（2）']"
路虎,揽胜极光PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8fdb570f7426485098f3b4d81a457c01~tplv-resize:640:0.png,91,26.2,26.2,奇瑞捷豹路虎,503,中型SUV,插电式混合动力,2023.03,3.98,4.41,4.21,3.91,3.64,3.96,3.84,3.89,"['整体空间出色（4）', '动力十足（4）', '外观时尚（3）', '配置丰富（3）', '内饰质感不错（2）', '后排空间大（2）', '油耗低（2）', '内饰好看（2）', '车机科技感强（2）', '配置实用（2）', '静谧性强（1）', '悬架支撑性强（1）', '越野性能强悍（1）', '外观大气（1）', '音响品质好（1）', '辅助驾驶功能多（1）', '转向手感出色（1）', '驾驶体验良好（1）', '音响品质一般（1）', '后备厢空间小（4）', '续航表现较差（2）', '变速箱换挡顿挫（1）', '油耗高（1）', '小毛病多（1）']"
