years,rank,manufacturer,sales
2017-03,26,上汽通用雪佛兰,27047
2017-03,27,上汽大众斯柯达,22691
2017-03,28,东风风行,22268
2017-03,29,东风标致,21248
2017-03,30,广汽菲克Jeep,20721
2017-03,31,长安马自达,20490
2017-03,32,众泰汽车,18275
2017-03,33,江淮汽车,17906
2017-03,34,悦达起亚,16006
2017-03,35,长安铃木,14801
2017-03,36,东风日产,11370
2017-03,37,上汽通用凯迪拉克,11281
2017-03,38,广汽三菱,11000
2017-03,39,力帆汽车,10986
2017-03,40,东南汽车,10857
2017-03,41,一汽马自达,10849
2017-03,42,猎豹汽车,10834
2017-03,43,北京汽车,10027
2017-03,44,东风雪铁龙,9497
2017-03,45,华泰汽车,9490
2017-03,46,北汽昌河,9435
2017-03,47,东风乘用车,9266
2017-03,48,一汽海马,8668
2017-03,49,华晨中华,8282
2017-03,50,SWM斯威汽车,7740
2017-03,51,鑫源汽车,7740
2017-03,52,北汽昌河,6545
2017-03,53,江铃集团新能源,6505
2017-03,54,上汽集团,6390
2017-03,55,东风雷诺,6066
2017-03,56,沃尔沃亚太,5811
2017-03,57,一汽吉林,5626
2017-03,58,奇瑞捷豹路虎,5587
2017-03,59,江铃轻卡,5327
2017-03,60,海马汽车,4967
2017-03,61,凯翼汽车,4773
2017-03,62,宝沃汽车,4556
2017-03,63,东风小康,4432
2017-03,64,开瑞汽车,4327
2017-03,65,北汽新能源,3605
2017-03,66,比速汽车,3562
2017-03,67,北京越野,3462
2017-03,68,野马汽车,3208
2017-03,69,福田汽车,3033
2017-03,70,上汽大通,2815
2017-03,71,华晨雷诺,2577
2017-03,72,天津一汽,2546
2017-03,73,东风英菲尼迪,2356
2017-03,74,昌河铃木,2095
2017-03,75,奇瑞捷豹路虎,1571
2017-03,76,中国重汽VGV,1511
2017-03,77,长城汽车,1457
2017-03,78,福建奔驰,1345
2017-03,79,东风裕隆,1308
2017-03,80,一汽奔腾,1295
2017-03,81,郑州日产,1075
2017-03,82,广汽讴歌,1059
2017-03,83,郑州日产,960
2017-03,84,郑州日产,869
2017-03,85,江铃福特,833
2017-03,86,观致汽车,803
2017-03,87,DS汽车,534
2017-03,88,广汽菲克菲亚特,500
2017-03,89,一汽红旗,402
2017-03,90,福汽新龙马,391
2017-03,91,江西五十铃,362
2017-03,92,绵阳金杯,283
2017-03,93,腾势汽车,250
2017-03,94,华晨华颂,196
2017-03,95,东南三菱,18
2017-03,96,北京汽车制造厂,3
2017-04,1,上汽大众,116533
2017-04,2,一汽-大众,95949
2017-04,3,上汽通用别克,91823
2017-04,4,吉利汽车,87057
2017-04,5,东风日产,80217
2017-04,6,上汽通用五菱,77311
2017-04,7,长城汽车,62120
2017-04,8,东风本田,61278
2017-04,9,广汽本田,61063
2017-04,10,上汽通用五菱,58181
2017-04,11,一汽丰田,51326
2017-04,12,长安福特,48451
2017-04,13,一汽-大众奥迪,42444
2017-04,14,广汽乘用车,41705
2017-04,15,广汽丰田,35232
2017-04,16,北京现代,35009
2017-04,17,华晨宝马,34835
2017-04,18,北京奔驰,33124
2017-04,19,奇瑞汽车,32102
2017-04,20,比亚迪,30382
2017-04,21,上汽通用雪佛兰,29872
2017-04,22,长安汽车,28965
2017-04,23,上汽集团,27754
2017-04,24,上汽大众斯柯达,22519
2017-04,25,北汽幻速,21235
2017-04,26,广汽菲克Jeep,20647
2017-04,27,东风小康,18725
2017-04,28,长安汽车,18270
2017-04,29,江淮汽车,17477
2017-04,30,悦达起亚,16050
2017-04,31,东风标致,14236
2017-04,32,上汽通用凯迪拉克,14022
2017-04,33,上汽集团,13854
2017-04,34,众泰汽车,12612
2017-04,35,长安马自达,12506
2017-04,36,SWM斯威汽车,11485
2017-04,37,鑫源汽车,11485
2017-04,38,东南汽车,11229
2017-04,39,东风风行,11016
2017-04,40,一汽马自达,10573
2017-04,51,东风雷诺,6188
2017-04,52,开瑞汽车,5846
2017-04,53,沃尔沃亚太,5138
2017-04,54,奇瑞捷豹路虎,5128
2017-04,55,长安铃木,4885
2017-04,56,凯翼汽车,4788
2017-04,57,力帆汽车,4763
2017-04,58,一汽海马,4637
2017-04,59,东风小康,4623
2017-04,60,宝沃汽车,4598
2017-04,61,北汽新能源,4351
2017-04,62,比速汽车,3966
2017-04,63,野马汽车,3892
2017-04,64,江铃集团新能源,3881
2017-04,65,知豆电动车,3709
2017-04,66,北京越野,3306
2017-04,67,福田汽车,3283
2017-04,68,北汽昌河,3263
2017-04,69,启辰,2704
2017-04,70,海马汽车,2518
2017-04,71,中国重汽VGV,2330
2017-04,72,东风英菲尼迪,2256
2017-04,73,上汽大通,2224
2017-04,74,华晨雷诺,2059
2017-04,75,江铃汽车,2056
2017-04,76,一汽吉林,2028
2017-04,77,昌河铃木,1708
2017-04,78,天津一汽,1663
2017-04,79,奇瑞捷豹路虎,1660
2017-04,80,一汽奔腾,1647
2017-04,81,福建奔驰,1489
2017-04,82,长城汽车,1227
2017-04,83,广汽讴歌,1217
2017-04,84,郑州日产,1214
2017-04,85,观致汽车,1069
2017-04,86,东风裕隆,901
2017-04,87,江铃轻卡,603
2017-04,88,郑州日产,565
2017-04,89,郑州日产,510
2017-04,90,江铃福特,488
2017-04,91,福汽新龙马,467
2017-04,92,绵阳金杯,446
2017-04,93,一汽红旗,274
2017-04,94,广汽菲克菲亚特,250
2017-04,95,DS汽车,228
2017-04,96,福迪汽车,220
2017-04,97,腾势汽车,166
2017-04,98,江西五十铃,162
2017-04,99,东南三菱,130
2017-04,100,北京汽车制造厂,83
2017-04,101,华晨华颂,1
2017-05,1,上汽大众,127731
2017-05,2,一汽-大众,97746
2017-05,3,上汽通用别克,89967
2017-05,4,东风日产,85022
2017-05,5,吉利汽车,76616
2017-05,6,上汽通用五菱,68866
2017-05,7,长安福特,59916
2017-05,8,上汽通用五菱,59324
2017-05,9,一汽丰田,59287
2017-05,10,长城汽车,58390
2017-05,11,广汽本田,58333
2017-05,12,东风本田,55606
2017-05,13,长安汽车,44422
2017-05,14,一汽-大众奥迪,44406
2017-05,15,广汽乘用车,44135
2017-05,16,北京奔驰,35662
2017-05,17,北京现代,35100
2017-05,18,广汽丰田,33318
2017-05,19,奇瑞汽车,32990
2017-05,20,华晨宝马,31505
2017-05,21,比亚迪,29896
2017-05,22,上汽集团,28370
2017-05,23,上汽通用雪佛兰,26830
2017-05,24,长安汽车,26046
2017-05,25,上汽大众斯柯达,24377
2017-05,26,广汽菲克Jeep,19815
2017-05,27,北汽幻速,18114
2017-05,28,悦达起亚,17385
2017-05,29,东风标致,16416
2017-05,30,东风小康,15646
2017-05,31,江淮汽车,14792
2017-05,32,众泰汽车,14491
2017-05,33,长安马自达,14049
2017-05,34,上汽通用凯迪拉克,14006
2017-05,35,东风风行,13010
2017-05,36,鑫源汽车,11982
2017-05,37,SWM斯威汽车,11982
2017-05,38,东南汽车,11862
2017-05,39,上汽集团,11656
2017-05,40,东风日产,10370
2017-05,41,一汽奔腾,10207
2017-05,42,一汽马自达,9740
2017-05,43,华晨中华,9193
2017-05,44,力帆汽车,9067
2017-05,45,华泰汽车,8854
2017-05,46,东风乘用车,8666
2017-05,47,广汽三菱,8200
2017-05,48,沃尔沃亚太,8135
2017-05,49,猎豹汽车,7806
2017-05,50,东风雪铁龙,7584
2017-05,51,东风雷诺,6009
2017-05,52,北汽昌河,5919
2017-05,53,长安铃木,5495
2017-05,54,北京汽车,5377
2017-05,55,开瑞汽车,5294
2017-05,56,奇瑞捷豹路虎,5078
2017-05,57,一汽海马,4722
2017-05,58,知豆电动车,4471
2017-05,59,凯翼汽车,4408
2017-05,60,一汽吉林,4258
2017-05,61,比速汽车,4113
2017-05,62,东风小康,4051
2017-05,63,宝沃汽车,4033
2017-05,64,北汽新能源,3895
2017-05,65,北汽昌河,3740
2017-05,66,福田汽车,2780
2017-05,67,江铃集团新能源,2656
2017-05,68,东风英菲尼迪,2484
2017-05,69,北京越野,2483
2017-05,70,中国重汽VGV,2426
2017-05,71,野马汽车,2360
2017-05,72,海马汽车,2234
2017-05,73,上汽大通,2223
2017-05,74,华晨雷诺,2032
2017-05,75,福建奔驰,1778
2017-05,76,奇瑞捷豹路虎,1728
2017-05,77,江铃轻卡,1403
2017-05,78,天津一汽,1277
2017-05,79,江铃汽车,1253
2017-05,80,昌河铃木,1235
2017-05,81,广汽讴歌,1202
2017-05,82,观致汽车,1096
2017-05,83,长城汽车,889
2017-05,84,东风裕隆,809
2017-05,85,郑州日产,715
2017-05,86,江铃福特,675
2017-05,87,郑州日产,618
2017-05,88,福汽新龙马,567
2017-05,89,DS汽车,496
2017-05,90,郑州日产,445
2017-05,91,绵阳金杯,358
2017-05,92,一汽红旗,310
2017-05,93,广汽菲克菲亚特,300
2017-05,94,江西五十铃,214
2017-05,95,福迪汽车,139
2017-05,96,腾势汽车,83
2017-05,97,康迪电动汽车集团,63
2017-05,98,北京汽车制造厂,20
2017-05,99,广汽吉奥,6
2017-05,100,东南三菱,2
2017-05,101,东南三菱,2
2017-06,1,上汽大众,146528
2017-06,2,一汽-大众,97384
2017-06,3,上汽通用别克,93986
2017-06,4,吉利汽车,88836
2017-06,5,东风日产,88096
2017-06,6,一汽丰田,66852
2017-06,7,长安福特,64140
2017-06,8,上汽通用五菱,63432
2017-06,9,东风本田,60579
2017-06,10,上汽通用五菱,60323
2017-06,11,广汽本田,59734
2017-06,12,长安汽车,53388
2017-06,13,长城汽车,51179
2017-06,14,一汽-大众奥迪,43717
2017-06,15,广汽丰田,39201
2017-06,16,上汽通用雪佛兰,35731
2017-06,17,北京现代,35049
2017-06,18,北京奔驰,32585
2017-06,19,长安汽车,32450
2017-06,20,奇瑞汽车,32113
2017-06,21,比亚迪,31534
2017-06,22,上汽大众斯柯达,28308
2017-06,23,华晨宝马,27566
2017-06,24,上汽集团,24752
2017-06,25,众泰汽车,20458
2017-06,26,悦达起亚,19003
2017-06,27,东风小康,18794
2017-06,28,长安马自达,16258
2017-06,29,北汽幻速,15183
2017-06,30,江淮汽车,14479
2017-06,31,上汽通用凯迪拉克,13531
2017-06,32,力帆汽车,13194
2017-06,33,北京汽车,12249
2017-06,34,东风标致,12198
2017-06,35,东南汽车,11282
2017-06,36,东风日产,10746
2017-06,37,猎豹汽车,10366
2017-06,38,广汽三菱,10005
2017-06,39,上汽集团,9316
2017-06,40,一汽马自达,9268
2017-06,41,沃尔沃亚太,8858
2017-06,42,东风乘用车,8426
2017-06,43,SWM斯威汽车,8280
2017-06,44,鑫源汽车,8280
2017-06,45,一汽奔腾,6985
2017-06,46,比速汽车,6527
2017-06,47,东风雪铁龙,6281
2017-06,48,华晨中华,6277
2017-06,49,开瑞汽车,6124
2017-06,50,长安铃木,6050
2017-06,51,一汽海马,5693
2017-06,52,奇瑞捷豹路虎,5268
2017-06,53,华泰汽车,5248
2017-06,54,北汽昌河,5026
2017-06,55,东风雷诺,5008
2017-06,56,知豆电动车,4714
2017-06,57,东风小康,4464
2017-06,58,凯翼汽车,4212
2017-06,59,一汽吉林,3553
2017-06,60,长城汽车,3166
2017-06,61,宝沃汽车,3025
2017-06,62,华晨雷诺,2592
2017-06,63,北汽新能源,2581
2017-06,64,中国重汽VGV,2445
2017-06,65,北京越野,2440
2017-06,66,海马汽车,2438
2017-06,67,东风英菲尼迪,2253
2017-06,68,福田汽车,2138
2017-06,69,华晨华颂,2002
2017-06,70,野马汽车,1990
2017-06,71,江铃汽车,1977
2017-06,72,福建奔驰,1970
2017-06,73,天津一汽,1931
2017-06,74,江铃集团新能源,1912
2017-06,75,昌河铃木,1806
2017-06,76,奇瑞捷豹路虎,1698
2017-06,77,江铃福特,1636
2017-06,78,上汽大通,1600
2017-06,79,郑州日产,1305
2017-06,80,福汽新龙马,1278
2017-06,81,广汽讴歌,1033
2017-06,82,长城汽车,877
2017-06,83,观致汽车,870
2017-06,84,东风裕隆,745
2017-06,85,郑州日产,703
2017-06,86,DS汽车,503
2017-06,87,腾势汽车,384
2017-06,88,郑州日产,324
2017-06,89,康迪电动汽车集团,315
2017-06,90,一汽红旗,308
2017-06,91,广汽菲克菲亚特,251
2017-06,92,江西五十铃,221
2017-06,93,绵阳金杯,206
2017-06,94,东南三菱,182
2017-06,95,福迪汽车,177
2017-06,96,北京汽车制造厂,17
2017-07,1,上汽大众,110362
2017-07,2,一汽-大众,101877
2017-07,3,吉利汽车,91178
2017-07,4,上汽通用别克,88298
2017-07,5,东风日产,77920
2017-07,6,一汽丰田,63052
2017-07,7,上汽通用五菱,62444
2017-07,8,东风本田,60456
2017-07,9,广汽本田,57711
2017-07,10,长城汽车,53853
2017-07,11,上汽通用五菱,52561
2017-07,12,北京现代,50015
2017-07,13,一汽-大众奥迪,48232
2017-07,14,长安福特,47169
2017-07,15,长安汽车,42893
2017-07,16,广汽丰田,41505
2017-07,17,广汽乘用车,38965
2017-07,18,上汽通用雪佛兰,35367
2017-07,19,北京奔驰,35318
2017-07,20,华晨宝马,30050
2017-07,21,上汽集团,28515
2017-07,22,比亚迪,28336
2017-07,23,奇瑞汽车,27484
2017-07,24,上汽大众斯柯达,21275
2017-07,25,众泰汽车,21061
2017-07,26,悦达起亚,20002
2017-07,27,长安汽车,19174
2017-07,28,东风小康,15390
2017-07,29,北汽幻速,15217
2017-07,30,东风标致,14804
2017-07,31,江淮汽车,14741
2017-07,32,长安马自达,13100
2017-07,33,东风风行,12432
2017-07,34,上汽通用凯迪拉克,12006
2017-07,35,广汽菲克Jeep,11901
2017-07,36,东南汽车,10035
2017-07,37,力帆汽车,9587
2017-07,38,一汽马自达,8980
2017-07,39,上汽集团,8553
2017-07,40,一汽奔腾,7549
2017-07,41,沃尔沃亚太,7444
2017-07,42,猎豹汽车,7193
2017-07,43,东风日产,7124
2017-07,44,广汽三菱,7000
2017-07,45,东风乘用车,6762
2017-07,46,比速汽车,6720
2017-07,47,开瑞汽车,6653
2017-07,48,东风雪铁龙,6300
2017-07,49,长城汽车,6075
2017-07,50,北京汽车,5625
2017-07,51,华泰汽车,5562
2017-07,52,奇瑞捷豹路虎,4947
2017-07,53,北汽昌河,4615
2017-07,54,东风雷诺,4428
2017-07,55,鑫源汽车,4239
2017-07,56,SWM斯威汽车,4239
2017-07,57,一汽海马,4126
2017-07,58,北汽新能源,4068
2017-07,59,东风小康,4045
2017-07,60,长安铃木,4028
2017-07,61,一汽吉林,3810
2017-07,62,知豆电动车,3796
2017-07,63,华晨中华,3691
2017-07,64,宝沃汽车,3208
2017-07,65,海马汽车,2420
2017-07,66,北京越野,2240
2017-07,67,福田汽车,2214
2017-07,68,北汽昌河,2123
2017-07,69,野马汽车,2045
2017-07,70,东风英菲尼迪,2020
2017-07,71,天津一汽,1989
2017-07,72,福建奔驰,1887
2017-07,73,华晨雷诺,1881
2017-07,74,奇瑞捷豹路虎,1858
2017-07,75,上汽大通,1613
2017-07,76,江铃福特,1441
2017-07,77,中国重汽VGV,1325
2017-07,78,凯翼汽车,1280
2017-07,79,江铃集团新能源,1235
2017-07,80,昌河铃木,1111
2017-07,81,郑州日产,1093
2017-07,82,广汽讴歌,1011
2017-07,83,东风裕隆,862
2017-07,84,观致汽车,806
2017-07,85,长城汽车,715
2017-07,86,江铃汽车,650
2017-07,87,郑州日产,517
2017-07,88,福汽新龙马,381
2017-07,89,郑州日产,355
2017-07,90,DS汽车,263
2017-07,91,江西五十铃,258
2017-07,92,东南三菱,225
2017-07,93,一汽红旗,203
2017-07,94,福迪汽车,162
2017-07,95,绵阳金杯,112
2017-07,96,广汽菲克菲亚特,73
2017-07,97,北京汽车制造厂,68
2017-07,98,腾势汽车,58
2017-07,99,华晨华颂,17
2017-07,100,康迪电动汽车集团,1
2017-08,1,上汽大众,127401
2017-08,2,一汽-大众,125796
2017-08,3,上汽通用别克,103134
2017-08,4,吉利汽车,96479
2017-08,5,东风日产,89126
2017-08,6,上汽通用五菱,77575
2017-08,7,长安福特,70179
2017-08,8,东风本田,59230
2017-08,9,长安汽车,58654
2017-08,10,广汽本田,58134
2017-08,11,长城汽车,58052
2017-08,12,上汽通用五菱,56326
2017-08,13,一汽丰田,53060
2017-08,14,北京现代,52748
2017-08,15,一汽-大众奥迪,52377
2017-08,16,广汽乘用车,40192
2017-08,17,上汽通用雪佛兰,37783
2017-08,18,广汽丰田,37068
2017-08,19,北京奔驰,33551
2017-08,20,华晨宝马,32888
2017-08,21,上汽集团,30539
2017-08,22,比亚迪,29455
2017-08,23,奇瑞汽车,28651
2017-08,24,上汽大众斯柯达,23334
2017-08,25,众泰汽车,23068
2017-08,26,悦达起亚,23002
2017-08,27,东风风行,19009
2017-08,28,东风标致,17202
2017-08,29,东风小康,16813
2017-08,30,上汽通用凯迪拉克,15706
2017-08,31,北汽幻速,15421
2017-08,32,长安汽车,14992
2017-08,33,江淮汽车,14740
2017-08,34,长安马自达,13086
2017-08,35,广汽菲克Jeep,12691
2017-08,36,东南汽车,11858
2017-08,37,猎豹汽车,10743
2017-08,38,华泰汽车,10386
2017-08,39,上汽集团,10131
2017-08,40,东风乘用车,9718
2017-08,41,一汽马自达,9315
2017-08,42,一汽奔腾,8952
2017-08,43,东风日产,8530
2017-08,44,沃尔沃亚太,8164
2017-08,45,广汽三菱,8060
2017-08,46,力帆汽车,7465
2017-08,47,开瑞汽车,7390
2017-08,48,比速汽车,7272
2017-08,49,长城汽车,7197
2017-08,50,东风雪铁龙,6914
2017-08,51,北汽新能源,6726
2017-08,52,一汽海马,5775
2017-08,53,奇瑞捷豹路虎,5447
2017-08,54,长安铃木,5091
2017-08,55,知豆电动车,5018
2017-08,56,北汽昌河,5007
2017-08,57,东风雷诺,5000
2017-08,58,华晨中华,4781
2017-08,59,海马汽车,4205
2017-08,60,北京汽车,4124
2017-08,61,SWM斯威汽车,4011
2017-08,62,鑫源汽车,4011
2017-08,63,一汽吉林,3802
2017-08,64,东风小康,3476
2017-08,65,北京越野,3430
2017-08,66,康迪电动汽车集团,3213
2017-08,67,北汽昌河,3102
2017-08,68,宝沃汽车,3009
2017-08,69,天津一汽,2356
2017-08,70,华晨雷诺,2247
2017-08,71,野马汽车,2233
2017-08,72,上汽大通,2173
2017-08,73,江铃集团新能源,2143
2017-08,74,东风英菲尼迪,2112
2017-08,75,福建奔驰,1970
2017-08,76,福田汽车,1885
2017-08,77,奇瑞捷豹路虎,1579
2017-08,78,昌河铃木,1548
2017-08,79,郑州日产,1510
2017-08,80,凯翼汽车,1378
2017-08,81,中国重汽VGV,1318
2017-08,82,广汽讴歌,1130
2017-08,83,东风裕隆,1021
2017-08,84,观致汽车,851
2017-08,85,江铃汽车,842
2017-08,86,江铃福特,618
2017-08,87,长城汽车,588
2017-08,88,腾势汽车,560
2017-08,89,郑州日产,560
2017-08,90,郑州日产,435
2017-08,91,福汽新龙马,411
2017-08,92,一汽红旗,406
2017-08,93,江西五十铃,359
2017-08,94,DS汽车,334
2017-08,95,绵阳金杯,300
2017-08,96,东南三菱,173
2017-08,97,福迪汽车,140
2017-08,98,北京汽车制造厂,124
2017-08,99,广汽菲克菲亚特,115
2017-09,1,上汽大众,186612
2017-09,2,一汽-大众,144182
2017-09,3,上汽通用别克,111437
2017-09,4,东风日产,110026
2017-09,5,吉利汽车,108785
2017-09,6,上汽通用五菱,95218
2017-09,7,北京现代,85010
2017-09,8,长安福特,83104
2017-09,9,长安汽车,79599
2017-09,10,长城汽车,77755
2017-09,11,广汽本田,77576
2017-09,12,上汽通用五菱,73349
2017-09,13,东风本田,68116
2017-09,14,一汽丰田,64511
2017-09,15,一汽-大众奥迪,59382
2017-09,16,上汽通用雪佛兰,51265
2017-09,17,广汽乘用车,46185
2017-09,18,广汽丰田,40985
2017-09,19,悦达起亚,39977
2017-09,20,上汽集团,38214
2017-09,21,北京奔驰,35377
2017-09,22,华晨宝马,34496
2017-09,23,众泰汽车,32978
2017-09,24,比亚迪,32600
2017-09,25,奇瑞汽车,30977
2017-09,26,上汽大众斯柯达,29904
2017-09,27,东风标致,25499
2017-09,28,东风风行,22230
2017-09,29,东风小康,20163
2017-09,30,长安马自达,19265
2017-09,31,江淮汽车,19228
2017-09,32,北汽幻速,18645
2017-09,33,广汽菲克Jeep,18304
2017-09,34,长安汽车,18116
2017-09,35,东南汽车,15549
2017-09,36,东风雪铁龙,14551
2017-09,37,东风乘用车,14024
2017-09,38,东风日产,12582
2017-09,39,华泰汽车,12554
2017-09,40,广汽三菱,12063
2017-09,41,一汽奔腾,11918
2017-09,42,上汽集团,11814
2017-09,43,上汽通用凯迪拉克,10760
2017-09,44,一汽马自达,10597
2017-09,45,沃尔沃亚太,10100
2017-09,46,猎豹汽车,9935
2017-09,47,华晨中华,9282
2017-09,48,开瑞汽车,9201
2017-09,49,北汽新能源,9143
2017-09,50,北汽昌河,8405
2017-09,51,力帆汽车,8315
2017-09,52,比速汽车,7887
2017-09,53,长城汽车,7444
2017-09,54,鑫源汽车,7136
2017-09,55,长安铃木,6990
2017-09,56,东风雷诺,6566
2017-09,57,一汽海马,6120
2017-09,58,奇瑞捷豹路虎,5845
2017-09,59,一汽吉林,5519
2017-09,60,汉腾汽车,5138
2017-09,61,知豆电动车,5084
2017-09,62,北京汽车,4709
2017-09,63,SWM斯威汽车,4460
2017-09,64,北京越野,4313
2017-09,65,康迪电动汽车集团,3551
2017-09,66,北汽昌河,3508
2017-09,67,上汽大通,3505
2017-09,68,宝沃汽车,2933
2017-09,69,昌河铃木,2914
2017-09,70,天津一汽,2669
2017-09,71,海马汽车,2653
2017-09,72,野马汽车,2528
2017-09,73,凯翼汽车,2450
2017-09,74,江铃集团新能源,2365
2017-09,75,东风英菲尼迪,2299
2017-09,76,福田汽车,2281
2017-09,77,华晨雷诺,2217
2017-09,78,奇瑞捷豹路虎,2200
2017-09,79,福建奔驰,2118
2017-09,80,中国重汽VGV,2085
2017-09,81,东风小康,1927
2017-09,82,华晨华颂,1514
2017-09,83,江铃汽车,1374
2017-09,84,广汽讴歌,1316
2017-09,85,郑州日产,1284
2017-09,86,郑州日产,1171
2017-09,87,观致汽车,1087
2017-09,88,江铃福特,1033
2017-09,89,东风裕隆,1029
2017-09,90,长城汽车,952
2017-09,91,福汽新龙马,830
2017-09,92,DS汽车,794
2017-09,93,郑州日产,770
2017-09,94,东南三菱,580
2017-09,95,一汽红旗,459
2017-09,96,腾势汽车,402
2017-09,97,绵阳金杯,242
2017-09,98,北京汽车制造厂,227
2017-09,99,福迪汽车,190
2017-09,100,江西五十铃,185
2017-09,101,广汽菲克菲亚特,72
2017-10,1,上汽大众,162782
2017-10,2,一汽-大众,140930
2017-10,3,吉利汽车,124723
2017-10,4,东风日产,114218
2017-10,5,上汽通用别克,113473
2017-10,6,上汽通用五菱,108387
2017-10,7,长安福特,82346
2017-10,8,长城汽车,81653
2017-10,9,北京现代,79942
2017-10,10,长安汽车,76011
2017-10,11,广汽本田,68889
2017-10,12,上汽通用五菱,63475
2017-10,13,上汽通用雪佛兰,54676
2017-10,14,一汽丰田,53645
2017-10,15,一汽-大众奥迪,51994
2017-10,16,东风本田,50333
2017-10,17,广汽乘用车,45452
2017-10,18,悦达起亚,42462
2017-10,19,上汽集团,38234
2017-10,20,奇瑞汽车,35598
2017-10,21,比亚迪,35093
2017-10,22,众泰汽车,33618
2017-10,23,广汽丰田,33217
2017-10,24,北京奔驰,32939
2017-10,25,东风小康,30932
2017-10,26,华晨宝马,30420
2017-10,27,上汽大众斯柯达,29469
2017-10,28,东风标致,27824
2017-10,29,东风风行,27005
2017-10,30,长安汽车,23397
2017-10,31,江淮汽车,20792
2017-10,32,北汽幻速,19833
2017-10,33,上汽通用凯迪拉克,18817
2017-10,34,长安马自达,18505
2017-10,35,长城汽车,16167
2017-10,36,华泰汽车,15773
2017-10,37,东南汽车,15483
2017-10,38,广汽菲克Jeep,15310
2017-10,39,东风雪铁龙,15000
2017-10,40,上汽集团,13370
2017-10,41,东风日产,12615
2017-10,42,东风乘用车,12234
2017-10,43,一汽奔腾,11651
2017-10,44,北汽新能源,11315
2017-10,45,一汽马自达,11117
2017-10,46,广汽三菱,11013
2017-10,47,猎豹汽车,11005
2017-10,48,鑫源汽车,10966
2017-10,49,一汽海马,9713
2017-10,50,沃尔沃亚太,8804
2017-10,51,北京汽车,8298
2017-10,52,力帆汽车,8184
2017-10,53,开瑞汽车,8029
2017-10,54,比速汽车,7807
2017-10,55,北汽昌河,7505
2017-10,56,长安铃木,6856
2017-10,57,东风雷诺,6606
2017-10,58,一汽吉林,6057
2017-10,59,汉腾汽车,5875
2017-10,60,北汽昌河,5061
2017-10,61,奇瑞捷豹路虎,4945
2017-10,62,SWM斯威汽车,4605
2017-10,63,知豆电动车,4502
2017-10,64,北京越野,4451
2017-10,65,曙光汽车,4360
2017-10,66,宝沃汽车,4077
2017-10,67,江铃集团新能源,3800
2017-10,68,昌河铃木,3763
2017-10,69,东风小康,3445
2017-10,70,华晨中华,3378
2017-10,71,上汽大通,3367
2017-10,72,康迪电动汽车集团,3103
2017-10,73,野马汽车,2943
2017-10,74,海马汽车,2834
2017-10,75,凯翼汽车,2792
2017-10,76,东风英菲尼迪,2667
2017-10,77,天津一汽,2509
2017-10,78,东风裕隆,2472
2017-10,79,中国重汽VGV,2375
2017-10,80,福田汽车,2212
2017-10,81,奇瑞捷豹路虎,1935
2017-10,82,华晨雷诺,1569
2017-10,83,福建奔驰,1545
2017-10,84,广汽讴歌,1529
2017-10,85,郑州日产,1186
2017-10,86,观致汽车,1148
2017-10,87,郑州日产,1020
2017-10,88,郑州日产,967
2017-10,89,江铃汽车,947
2017-10,90,DS汽车,844
2017-10,91,江铃福特,800
2017-10,92,长城汽车,770
2017-10,93,福汽新龙马,700
2017-10,94,腾势汽车,664
2017-10,95,江西五十铃,495
2017-10,96,东南三菱,240
2017-10,97,绵阳金杯,224
2017-10,98,福迪汽车,165
2017-10,99,一汽红旗,102
2017-10,100,北京汽车制造厂,96
2017-10,101,广汽菲克菲亚特,9
2017-10,102,华晨华颂,4
2017-11,1,上汽大众,168485
2017-11,2,吉利汽车,141312
2017-11,3,上汽通用五菱,128486
2017-11,4,上汽通用别克,125037
2017-11,5,东风日产,121906
2017-11,6,一汽-大众,120411
2017-11,7,长城汽车,97209
2017-11,8,北京现代,94960
2017-11,9,长安福特,82016
2017-11,10,长安汽车,79991
2017-11,11,上汽通用五菱,74201
2017-11,12,东风本田,69816
2017-11,13,广汽本田,68096
2017-11,14,一汽丰田,60667
2017-11,15,上汽通用雪佛兰,58108
2017-11,16,一汽-大众奥迪,57294
2017-11,17,上汽集团,53862
2017-11,18,悦达起亚,49857
2017-11,19,比亚迪,45596
2017-11,20,奇瑞汽车,45209
2017-11,21,广汽乘用车,43324
2017-11,22,华晨宝马,38097
2017-11,23,众泰汽车,37782
2017-11,24,广汽丰田,36826
2017-11,25,上汽大众斯柯达,35440
2017-11,26,北京奔驰,34969
2017-11,27,东风小康,31047
2017-11,28,东风标致,29836
2017-11,29,北汽幻速,27157
2017-11,30,东风风行,26308
2017-11,31,鑫源汽车,23085
2017-11,32,长安汽车,21527
2017-11,33,江淮汽车,21054
2017-11,34,长城汽车,20460
2017-11,35,东风雪铁龙,20164
2017-11,36,长安马自达,19502
2017-11,37,华泰汽车,17879
2017-11,38,广汽菲克Jeep,17618
2017-11,39,东南汽车,17405
2017-11,40,东风日产,16923
2017-11,41,上汽通用凯迪拉克,16016
2017-11,42,一汽奔腾,14891
2017-11,43,上汽集团,14363
2017-11,44,北京汽车,13558
2017-11,45,广汽三菱,12475
2017-11,46,一汽马自达,12361
2017-11,47,猎豹汽车,11424
2017-11,48,东风乘用车,11310
2017-11,49,一汽吉林,10645
2017-11,50,一汽海马,9915
2017-11,51,开瑞汽车,9637
2017-11,52,北汽昌河,9296
2017-11,53,比速汽车,8752
