year,rank,logo,manufacturer,sales
2017,13,https://i.img16888.com/dealer/flogo/57310.gif,广汽本田,701369
2017,14,https://i.img16888.com/dealer/flogo/57505.gif,一汽丰田,689238
2017,15,https://i.img16888.com/dealer/flogo/57230.gif,一汽-大众奥迪,552004
2017,16,https://i.img16888.com/dealer/flogo/58027.gif,上汽通用雪佛兰,474868
2017,17,https://i.img16888.com/dealer/flogo/57564.gif,广汽乘用车,457670
2017,18,https://i.img16888.com/dealer/flogo/57501.gif,广汽丰田,442380
2017,19,https://i.img16888.com/dealer/flogo/57280.gif,北京奔驰,422558
2017,20,https://i.img16888.com/dealer/flogo/57824.gif,奇瑞汽车,416178
2017,21,https://i.img16888.com/dealer/flogo/57329.gif,比亚迪,404788
2017,22,https://i.img16888.com/dealer/flogo/57892.gif,上汽集团,389192
2017,23,https://i.img16888.com/dealer/flogo/57249.gif,华晨宝马,385557
2017,24,https://i.img16888.com/dealer/flogo/57839.gif,悦达起亚,359528
2017,25,https://i.img16888.com/dealer/flogo/126293.gif,长安汽车,342361
2017,26,https://i.img16888.com/dealer/flogo/57955.gif,上汽大众斯柯达,324986
2017,27,https://i.img16888.com/dealer/flogo/58086.gif,众泰汽车,312974
2017,28,https://i.img16888.com/dealer/flogo/127365.gif,东风小康,274615
2017,29,https://i.img16888.com/dealer/flogo/126547.gif,北汽幻速,261803
2017,30,https://i.img16888.com/dealer/flogo/57339.gif,东风标致,235087
2017,31,https://i.img16888.com/dealer/flogo/57468.gif,东风风行,217356
2017,32,https://i.img16888.com/dealer/flogo/57621.gif,江淮汽车,216623
2017,33,https://i.img16888.com/dealer/flogo/57773.gif,长安马自达,192053
2017,34,https://i.img16888.com/dealer/flogo/127154.gif,广汽菲克Jeep,185655
2017,35,https://i.img16888.com/dealer/flogo/57652.gif,上汽通用凯迪拉克,168200
2017,36,https://i.img16888.com/dealer/flogo/57478.gif,东南汽车,150272
2017,37,https://i.img16888.com/dealer/flogo/126074.gif,东风日产,140502
2017,38,https://i.img16888.com/dealer/flogo/126912.gif,鑫源汽车,134448
2017,39,https://i.img16888.com/dealer/flogo/57475.gif,东风乘用车,132593
2017,40,https://i.img16888.com/dealer/flogo/57595.gif,华泰汽车,131627
2017,41,https://i.img16888.com/dealer/flogo/57766.gif,上汽集团,130002
2017,42,https://i.img16888.com/dealer/flogo/58045.gif,东风雪铁龙,128737
2017,43,https://i.img16888.com/dealer/flogo/57777.gif,一汽马自达,124190
2017,44,https://i.img16888.com/dealer/flogo/57397.gif,猎豹汽车,122750
2017,45,https://i.img16888.com/dealer/flogo/126149.gif,广汽三菱,117388
2017,46,https://i.img16888.com/dealer/flogo/126170.gif,北京汽车,108269
2017,47,https://i.img16888.com/dealer/flogo/57711.gif,力帆汽车,101434
2017,48,https://i.img16888.com/dealer/flogo/57302.gif,一汽奔腾,101346
2017,49,https://i.img16888.com/dealer/flogo/101445.gif,一汽海马,98506
2017,50,https://i.img16888.com/dealer/flogo/126503.gif,沃尔沃亚太,91496
2017,51,https://i.img16888.com/dealer/flogo/57646.gif,开瑞汽车,90546
2017,52,https://i.img16888.com/dealer/flogo/58075.gif,华晨中华,89982
2017,53,https://i.img16888.com/dealer/flogo/127718.gif,SWM斯威汽车,88174
2017,54,https://i.img16888.com/dealer/flogo/126180.gif,北汽昌河,86972
2017,55,https://i.img16888.com/dealer/flogo/57734.gif,长安铃木,83896
2017,56,https://i.img16888.com/dealer/flogo/127629.gif,长城汽车,81858
2017,57,https://i.img16888.com/dealer/flogo/127170.gif,东风雷诺,72188
2017,58,https://i.img16888.com/dealer/flogo/127636.gif,比速汽车,72092
2017,59,https://i.img16888.com/dealer/flogo/58065.gif,一汽吉林,67044
2017,60,https://i.img16888.com/dealer/flogo/126811.gif,北汽新能源,61941
2017,61,https://i.img16888.com/dealer/flogo/126699.gif,奇瑞捷豹路虎,61915
2017,62,https://i.img16888.com/dealer/flogo/57376.gif,北汽昌河,52975
2017,63,https://i.img16888.com/dealer/flogo/127753.gif,江铃集团新能源,47278
2017,64,https://i.img16888.com/dealer/flogo/126336.gif,东风小康,45677
2017,65,https://i.img16888.com/dealer/flogo/127131.gif,宝沃汽车,44380
2017,66,https://i.img16888.com/dealer/flogo/126779.gif,凯翼汽车,42903
2017,67,https://i.img16888.com/dealer/flogo/57273.gif,北京越野,41600
2017,68,https://i.img16888.com/dealer/flogo/57572.gif,海马汽车,37644
2017,69,https://i.img16888.com/dealer/flogo/127042.gif,知豆电动车,36660
2017,70,https://i.img16888.com/dealer/flogo/57405.gif,野马汽车,34548
2017,71,https://i.img16888.com/dealer/flogo/126164.gif,上汽大通,32024
2017,72,https://i.img16888.com/dealer/flogo/57739.gif,昌河铃木,30670
2017,73,https://i.img16888.com/dealer/flogo/57553.gif,福田汽车,29779
2017,74,https://i.img16888.com/dealer/flogo/127562.gif,奇瑞捷豹路虎,28355
2017,75,https://i.img16888.com/dealer/flogo/126901.gif,东风英菲尼迪,27766
2017,76,https://i.img16888.com/dealer/flogo/57965.gif,天津一汽,27012
2017,77,https://i.img16888.com/dealer/flogo/126519.gif,中国重汽VGV,23547
2017,78,https://i.img16888.com/dealer/flogo/57637.gif,华晨雷诺,22481
2017,79,https://i.img16888.com/dealer/flogo/124947.gif,江铃轻卡,21365
2017,80,https://i.img16888.com/dealer/flogo/99926.gif,福建奔驰,20391
2017,81,https://i.img16888.com/dealer/flogo/127386.gif,汉腾汽车,20241
2017,82,https://i.img16888.com/dealer/flogo/125803.gif,东风裕隆,18689
2017,83,https://i.img16888.com/dealer/flogo/126389.gif,郑州日产,17231
2017,84,https://i.img16888.com/dealer/flogo/126158.gif,观致汽车,14959
2017,85,https://i.img16888.com/dealer/flogo/127021.gif,康迪电动汽车集团,14745
2017,86,https://i.img16888.com/dealer/flogo/127361.gif,广汽讴歌,13475
2017,87,https://i.img16888.com/dealer/flogo/57385.gif,长城汽车,12033
2017,88,https://i.img16888.com/dealer/flogo/127698.gif,江铃汽车,11314
2017,89,https://i.img16888.com/dealer/flogo/126067.gif,江铃福特,10955
2017,101,https://i.img16888.com/dealer/flogo/126073.gif,启辰,2704
2017,102,https://i.img16888.com/dealer/flogo/57910.gif,东南三菱,2395
2017,103,https://i.img16888.com/dealer/flogo/124668.gif,广汽本田,2388
2017,104,https://i.img16888.com/dealer/flogo/126108.gif,广汽菲克菲亚特,2276
2017,105,https://i.img16888.com/dealer/flogo/126333.gif,福迪汽车,1619
2017,106,https://i.img16888.com/dealer/flogo/126368.gif,北京汽车制造厂,1056
2017,107,https://i.img16888.com/dealer/flogo/57602.gif,广汽吉奥,6
2018,1,https://i.img16888.com/dealer/flogo/57412.gif,上汽大众,1713025
2018,2,https://i.img16888.com/dealer/flogo/57420.gif,一汽-大众,1393615
2018,3,https://i.img16888.com/dealer/flogo/57605.gif,吉利汽车,1353479
2018,4,https://i.img16888.com/dealer/flogo/57865.gif,东风日产,1087228
2018,5,https://i.img16888.com/dealer/flogo/57355.gif,上汽通用别克,1066629
2018,6,https://i.img16888.com/dealer/flogo/125810.gif,上汽通用五菱,871074
2018,7,https://i.img16888.com/dealer/flogo/58002.gif,北京现代,798691
2018,8,https://i.img16888.com/dealer/flogo/125977.gif,上汽通用五菱,772458
2018,9,https://i.img16888.com/dealer/flogo/126027.gif,长城汽车,765045
2018,10,https://i.img16888.com/dealer/flogo/57310.gif,广汽本田,733035
2018,11,https://i.img16888.com/dealer/flogo/57306.gif,东风本田,723743
2018,12,https://i.img16888.com/dealer/flogo/57505.gif,一汽丰田,715727
2018,13,https://i.img16888.com/dealer/flogo/57379.gif,长安汽车,663823
2018,14,https://i.img16888.com/dealer/flogo/57230.gif,一汽-大众奥迪,603688
2018,15,https://i.img16888.com/dealer/flogo/57501.gif,广汽丰田,580008
2018,16,https://i.img16888.com/dealer/flogo/58027.gif,上汽通用雪佛兰,547022
2018,17,https://i.img16888.com/dealer/flogo/57564.gif,广汽乘用车,515676
2018,18,https://i.img16888.com/dealer/flogo/57329.gif,比亚迪,500028
2018,19,https://i.img16888.com/dealer/flogo/57280.gif,北京奔驰,485006
2018,20,https://i.img16888.com/dealer/flogo/57892.gif,上汽集团,470092
2018,21,https://i.img16888.com/dealer/flogo/57249.gif,华晨宝马,455810
2018,22,https://i.img16888.com/dealer/flogo/57824.gif,奇瑞汽车,411110
2018,23,https://i.img16888.com/dealer/flogo/57535.gif,长安福特,377585
2018,24,https://i.img16888.com/dealer/flogo/57839.gif,悦达起亚,370313
2018,25,https://i.img16888.com/dealer/flogo/57955.gif,上汽大众斯柯达,342573
2018,26,https://i.img16888.com/dealer/flogo/57766.gif,上汽集团,231093
2018,27,https://i.img16888.com/dealer/flogo/57652.gif,上汽通用凯迪拉克,228044
2018,28,https://i.img16888.com/dealer/flogo/127365.gif,东风小康,221808
2018,29,https://i.img16888.com/dealer/flogo/58086.gif,众泰汽车,210827
2018,30,https://i.img16888.com/dealer/flogo/126293.gif,长安汽车,174667
2018,31,https://i.img16888.com/dealer/flogo/57773.gif,长安马自达,166299
2018,32,https://i.img16888.com/dealer/flogo/57621.gif,江淮汽车,165388
2018,33,https://i.img16888.com/dealer/flogo/126547.gif,北汽幻速,158083
2018,34,https://i.img16888.com/dealer/flogo/126149.gif,广汽三菱,143448
2018,35,https://i.img16888.com/dealer/flogo/127629.gif,长城汽车,136288
2018,36,https://i.img16888.com/dealer/flogo/126074.gif,东风日产,132068
2018,37,https://i.img16888.com/dealer/flogo/57339.gif,东风标致,131370
2018,38,https://i.img16888.com/dealer/flogo/57468.gif,东风风行,128437
2018,39,https://i.img16888.com/dealer/flogo/127154.gif,广汽菲克Jeep,124800
2018,40,https://i.img16888.com/dealer/flogo/127598.gif,领克,120414
2018,41,https://i.img16888.com/dealer/flogo/58045.gif,东风雪铁龙,114197
2018,42,https://i.img16888.com/dealer/flogo/57777.gif,一汽马自达,110300
2018,43,https://i.img16888.com/dealer/flogo/126811.gif,北汽新能源,109699
2018,44,https://i.img16888.com/dealer/flogo/126503.gif,沃尔沃亚太,109415
2018,45,https://i.img16888.com/dealer/flogo/126170.gif,北京汽车,108560
2018,46,https://i.img16888.com/dealer/flogo/57475.gif,东风乘用车,95311
2018,47,https://i.img16888.com/dealer/flogo/57595.gif,华泰汽车,86236
2018,48,https://i.img16888.com/dealer/flogo/57302.gif,一汽奔腾,85580
2018,49,https://i.img16888.com/dealer/flogo/57478.gif,东南汽车,76676
