years,rank,logo,country,brand,sales
2016-02,38,https://i.img16888.com/carlogo75/57612.gif,美国,Jeep,5979
2016-02,39,https://i.img16888.com/carlogo75/57477.gif,中国,东南,5469
2016-02,40,https://i.img16888.com/carlogo75/57594.gif,中国,华泰,5412
2016-02,41,https://i.img16888.com/carlogo75/57301.gif,中国,奔腾,5054
2016-02,42,https://i.img16888.com/carlogo75/126073.gif,中国,启辰,4912
2016-02,43,https://i.img16888.com/carlogo75/57651.gif,美国,凯迪拉克,4538
2016-02,44,https://i.img16888.com/carlogo75/57765.gif,中国,名爵,4225
2016-02,45,https://i.img16888.com/carlogo75/57710.gif,中国,力帆汽车,4049
2016-02,46,https://i.img16888.com/carlogo75/57396.gif,中国,猎豹汽车,4004
2016-02,47,https://i.img16888.com/carlogo75/126335.gif,中国,东风小康,3729
2016-02,48,https://i.img16888.com/carlogo75/58064.gif,中国,一汽,3537
2016-02,49,https://i.img16888.com/carlogo75/57384.gif,中国,长城,2607
2016-02,50,https://i.img16888.com/carlogo75/57375.gif,中国,北汽昌河,2426
2016-02,51,https://i.img16888.com/carlogo75/125802.gif,中国,纳智捷,2251
2016-02,52,https://i.img16888.com/carlogo75/57404.gif,中国,野马汽车,2244
2016-02,53,https://i.img16888.com/carlogo75/126518.gif,中国,中国重汽,2029
2016-02,54,https://i.img16888.com/carlogo75/57490.gif,意大利,菲亚特,1248
2016-02,55,https://i.img16888.com/carlogo75/57909.gif,日本,三菱,1227
2016-02,56,https://i.img16888.com/carlogo75/126042.gif,法国,DS,1180
2016-02,57,https://i.img16888.com/carlogo75/126778.gif,中国,凯翼,1105
2016-02,58,https://i.img16888.com/carlogo75/124659.gif,中国,理念,1023
2016-02,59,https://i.img16888.com/carlogo75/126162.gif,中国,上汽大通MAXUS,924
2016-02,60,https://i.img16888.com/carlogo75/57552.gif,中国,福田,868
2016-02,61,https://i.img16888.com/carlogo75/124944.gif,中国,江铃,600
2016-02,62,https://i.img16888.com/carlogo75/126500.gif,中国,东风风度,504
2016-02,63,https://i.img16888.com/carlogo75/58067.gif,日本,英菲尼迪,437
2016-02,64,https://i.img16888.com/carlogo75/126157.gif,中国,观致,384
2016-02,65,https://i.img16888.com/carlogo75/126528.gif,中国,福汽启腾,353
2016-02,66,https://i.img16888.com/carlogo75/57487.gif,中国,永源,305
2016-02,67,https://i.img16888.com/carlogo75/57645.gif,中国,开瑞,209
2016-02,68,https://i.img16888.com/carlogo75/57584.gif,中国,红旗,162
2016-02,69,https://i.img16888.com/carlogo75/57970.gif,中国,威麟,136
2016-02,70,https://i.img16888.com/carlogo75/57272.gif,中国,北京,109
2016-02,71,https://i.img16888.com/carlogo75/57601.gif,中国,广汽吉奥,82
2016-02,72,https://i.img16888.com/carlogo75/126360.gif,中国,腾势,78
2016-02,73,https://i.img16888.com/carlogo75/126759.gif,中国,华颂,38
